Dam,St,n,FDR_p,r,KS_p,Status
Dworshak,ID,59,0.000389,-0.543,0.9531,SURVIVED
Douglas,TN,75,0.03033,0.303,0.6862,SURVIVED
Alamo,AZ,65,2.5e-05,0.143,0.0515,FRAGILE
Detroit,OR,75,0.060133,-0.262,0.9562,MARGINAL
Fontana,NC,71,0.064113,0.318,0.6398,MARGINAL
Cherokee,TN,73,0.142244,0.225,0.6546,NULL
Flaming Gorge,WY,75,0.189,0.001,0.7,NULL
Fontenelle,WY,61,0.222,-0.16,0.65,NULL
Isabella,CA,75,0.258,-0.02,0.9,NULL
Folsom,CA,75,0.307,-0.11,0.85,NULL
Success,CA,72,0.38,-0.05,0.92,NULL
Norris,TN,79,0.405,-0.04,0.9,NULL
Taylor Park,CO,75,0.461,-0.099,0.9352,NULL
Navajo,NM,62,0.592,0.01,0.99,NULL
Roosevelt,AZ,69,0.648,0.3,0.71,NULL
Canyon Lake,TX,75,0.721,0.2,0.0,NULL
Owyhee,OR,75,0.779,-0.241,0.5138,NULL
Fort Peck,MT,75,0.812,-0.15,0.7492,NULL
Wolf Creek,KY,60,0.869,-0.156,0.8039,NULL
Blue Ridge,GA,65,0.8338,-0.05,0.7,NULL
