site,wy,peak_cfs,oni_raw,oni_z
13340600,1967,22000.0,-0.36,-0.31520033476648446
13340600,1968,13100.0,-0.6200000000000001,-0.5611399652506083
13340600,1969,18100.0,0.9800000000000001,0.9523346838824608
13340600,1970,20500.0,0.64,0.6307213209416836
13340600,1971,25400.0,-1.1800000000000002,-1.0908560924471824
13340600,1972,31800.0,-0.56,-0.5043846659081181
13340600,1973,10300.0,1.5799999999999998,1.5198876773073613
13340600,1974,32300.0,-1.6400000000000001,-1.5259800540729398
13340600,1975,21600.0,-0.48,-0.4287109334514646
13340600,1976,28200.0,-1.48,-1.3746325891596327
13340600,1977,9940.0,0.6599999999999999,0.6496397540558468
13340600,1978,18100.0,0.56,0.5550475884850302
13340600,1979,21100.0,-0.16,-0.12601600362485088
13340600,1980,15300.0,0.52,0.5172107222567034
13340600,1981,18100.0,-0.32,-0.27736346853815774
13340600,1982,20600.0,0.18,0.19559735931592626
13340600,1983,16600.0,2.2600000000000002,2.163114403188916
13340600,1984,22300.0,-0.96,-0.8827533281913852
13340600,1985,19500.0,-0.48,-0.4287109334514646
13340600,1986,16500.0,0.13999999999999999,0.15776049308759954
13340600,1987,17600.0,1.42,1.3685402123940544
13340600,1988,14200.0,1.0,0.971253116996624
13340600,1989,18600.0,-1.4200000000000002,-1.317877289817143
13340600,1990,14800.0,-0.54,-0.48546623279395473
13340600,1991,21200.0,-0.20000000000000004,-0.16385286985317762
13340600,1992,12400.0,1.64,1.5766429766498515
13340600,1993,19600.0,-0.74,-0.6746505639355883
13340600,1994,12900.0,0.1,0.11992362685927282
13340600,1995,13900.0,0.9,0.8766609514258074
13340600,1996,37500.0,-1.3000000000000003,-1.2043666911321629
13340600,1997,36200.0,-0.36,-0.31520033476648446
13340600,1998,14300.0,2.08,1.9928485051614455
13340600,1999,24100.0,-1.6400000000000001,-1.5259800540729398
13340600,2000,14900.0,-1.44,-1.3367957229313059
13340600,2001,13100.0,-0.58,-0.5233030990222813
13340600,2002,23600.0,-0.2,-0.1638528698531776
13340600,2003,24100.0,1.08,1.0469268494532775
13340600,2004,17100.0,0.34,0.34694482422923323
13340600,2005,12100.0,0.5599999999999999,0.5550475884850301
13340600,2006,20400.0,-0.72,-0.6557321308214249
13340600,2007,16600.0,0.86,0.8388240851974805
13340600,2008,28400.0,-1.46,-1.3557141560454693
13340600,2009,17700.0,-0.6799999999999999,-0.6178952645930982
13340600,2010,15500.0,1.56,1.500969244193198
13340600,2011,24200.0,-1.52,-1.4124694553879595
13340600,2012,24800.0,-0.8800000000000001,-0.807079595734732
13340600,2013,20500.0,0.12000000000000002,0.1388420599734362
13340600,2014,19100.0,-0.36,-0.31520033476648446
13340600,2015,16100.0,0.7200000000000001,0.7063950533983371
13340600,2016,17800.0,2.3400000000000003,2.2387881356455694
13340600,2017,26800.0,-0.9400000000000001,-0.863834895077222
13340600,2018,23800.0,-0.68,-0.6178952645930983
13340600,2019,21600.0,0.44000000000000006,0.44153698980005
13340600,2020,16600.0,-0.43999999999999995,-0.39087406722313783
13340600,2021,14600.0,1.1199999999999999,1.0847637156816041
13340600,2022,22000.0,-0.96,-0.8827533281913852
13340600,2023,20900.0,-0.54,-0.48546623279395473
13340600,2024,12100.0,1.6599999999999997,1.5955614097640145
13340600,2025,13300.0,-1.1999999999999997,-1.1097745255613454
